question_id,question_content,A,B,C,D,true_answer,detail_explain,expert_common
101,Your company is planning on AWS on hosting its AWS resources. There is a company policy which mandates that all security keys are completely managed within the company itself. Which of the following is the correct measure of following this policy? Please select:,(A) Using the AWS KMS service for creation of the keys and the company managing the key lifecycle there after.,(B) Generating the key pairs for the EC2 Instances using puttygen,(C) Use the EC2 Key pairs that come with AWS,(D) Use S3 server-side encryption,B,"y ensuring that you generate the key pairs for EC2 Instances, you will have complete control of theaccess keys.Options A,C and D are invalid because all of these processes means that AWS has ownership of thekeys. And the question specifically mentions that you need ownership of the keys For information onsecurity for Compute Resources, please visit the below URL:https://d1.awsstatic.com/whitepapers/Security/Security Compute Services Whitepaper.pdfl Thecorrect answer is: Generating the key pairs for the EC2 Instances using puttygen Submit yourFeedback/Queries to our Experts",
104,Your company has a requirement to work with a DynamoDB table. There is a security mandate that all data should be encrypted at rest. What is the easiest way to accomplish this for DynamoDB. Please select:,(A) Use the AWS SDK to encrypt the data before sending it to the DynamoDB table,(B) Encrypt the DynamoDB table using KMS during its creation,(C) Encrypt the table using AWS KMS after it is created,(D) Use S3 buckets to encrypt the data before sending it to DynamoDB,B,"The most easiest option is to enable encryption when the DynamoDB table is created.The AWS Documentation mentions the following57Amazon DynamoDB offers fully managed encryption at rest. DynamoDB encryption at rest providesenhanced security by encrypting your data at rest using an AWS Key Management Service (AWS KMS)managed encryption key for DynamoDB. This functionality eliminates the operational burden andcomplexity involved in protecting sensitive data.Option A is partially correct, you can use the AWS SDK to encrypt the data, but the easier optionwould be to encrypt the table before hand.Option C is invalid because you cannot encrypt the table after it is created Option D is invalid becauseencryption for S3 buckets is for the objects in S3 only.For more information on securing data at rest for DynamoDB please refer to below URL:https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/EncryptionAtRest.htmll Thecorrect answer is: Encrypt the DynamoDB table using KMS during its creation Submit yourFeedback/Queries to our Experts",
105,An organization receives an alert that indicates that an EC2 instance behind an ELB ClassicLoad Balancer has been compromised.What techniques will limit lateral movement and allow evidence gathering?,(A) Remove the instance from the load balancer and terminate it.,"(B) Remove the instance from the load balancer, and shut down access to the instance by tighteningthe security group.",(C) Reboot the instance and check for any Amazon CloudWatch alarms.,(D) Stop the instance and make a snapshot of the root EBS volume.,B,https://d1.awsstatic.com/whitepapers/aws_security_incident_response.pdf,
106,A company uses user data scripts that contain sensitive information to bootstrap AmazonEC2 instances. A Security Engineer discovers that this sensitive information is viewable by people whoshould not have access to it.What is the MOST secure way to protect the sensitive information used to bootstrap the instances?,(A) Store the scripts in the AMI and encrypt the sensitive data using AWS KMS Use the instance roleprofile to control access to the KMS keys needed to decrypt the data.,(B) Store the sensitive data in AWS Systems Manager Parameter Store using the encrypted stringparameter and assign the GetParameters permission to the EC2 instance role.,(C) Externalize the bootstrap scripts in Amazon S3 and encrypt them using AWS KMS. Remove thescripts from the instance and clear the logs after the instance is configured.,(D) Block user access of the EC2 instance's metadata service using IAM policies. Remove all scripts andclear the logs after execution.,A,,
108,Your company is planning on hosting an internal network in AWS. They want machines inthe VPC to authenticate using private certificates. They want to minimize the work and maintenancein working with certificates. What is the ideal way to fulfil this requirement.Please select:,(A) Consider using Windows Server 2016 Certificate Manager,(B) Consider using AWS Certificate Manager,(C) Consider using AWS Access keys to generate the certificates,(D) Consider using AWS Trusted Advisor for managing the certificates,B,"The AWS Documentation mentions the followingACM is tightly linked with AWS Certificate Manager Private Certificate Authority. You can use ACMPCA to create a private certificate authority (CA) and then use ACM to issue private certificates. Theseare SSL/TLSX.509 certificates that identify users, computers, applications, services, servers, and other devicesinternally.Private certificates cannot be publicly trustedOption A is partially invalid. Windows Server 2016 Certificate Manager can be used but since there isa requirement to ""minimize the work and maintenance"", AWS Certificate Manager should be usedOption C and D are invalid because these cannot be used for managing certificates.For more information on ACM, please visit the below URL:https://docs.aws.amazon.com/acm/latest/userguide/acm-overview.htmlThe correct answer is: Consider using AWS Certificate Manager Submit your Feedback/Queries to ourExperts",
110,A user has created a VPC with the public and private subnets using the VPC wizard. The VPChas CIDR20.0.0.0/16. The public subnet uses CIDR 20.0.1.0/24. The user is planning to host a web server in thepublic subnet with port 80 and a Database server in the private subnet with port 3306. The user isconfiguring a security group for the public subnet (WebSecGrp) and the private subnet (DBSecGrp).which of the below mentioned entries is required in the private subnet database security groupDBSecGrp?Please select:,(A) Allow Inbound on port 3306 for Source Web Server Security Group WebSecGrp.,(B) Allow Inbound on port 3306 from source 20.0.0.0/16,(C) Allow Outbound on port 3306 for Destination Web Server Security Group WebSecGrp.60,(D) Allow Outbound on port 80 for Destination NAT Instance IP,A,Since the Web server needs to talk to the database server on port 3306 that means that the databaseserver should allow incoming traffic on port 3306. The below table from the aws documentationshows how the security groups should be set up.Option B is invalid because you need to allow incoming access for the database server from theWebSecGrp security group.Options C and D are invalid because you need to allow Outbound traffic and not inbound traffic Formore information on security groups please visit the below Link:http://docs.aws.amazon.com/AmazonVPC/latest/UserGuide/VPCScenario2.htmlThe correct answer is: Allow Inbound on port 3306 for Source Web Server Security GroupWebSecGrp.Submit your Feedback/Queries to our Experts,
111,Which of the following minimizes the potential attack surface for applications?,(A) Use security groups to provide stateful firewalls for Amazon EC2 instances at the hypervisor level.,(B) Use network ACLs to provide stateful firewalls at the VPC level to prevent access to any specificAWS resource.,(C) Use AWS Direct Connect for secure trusted connections between EC2 instances within privatesubnets.,"(D) Design network security in a single layer within the perimeter network (also known as DMZ,demilitarized zone, and screened subnet) to facilitate quicker responses to threats.",A,https://aws.amazon.com/answers/networking/vpc-security-capabilities/ Security Group is statefuland hypervisor level.,
112,"A company's database developer has just migrated an Amazon RDS database credential tobe stored and managed by AWS Secrets Manager. The developer has also enabled rotation of thecredential within the Secrets Manager console and set the rotation to change every 30 days.After a short period of time, a number of existing applications have failed with authentication errors.61What is the MOST likely cause of the authentication errors?",(A) Migrating the credential to RDS requires that all access come through requests to the SecretsManager.,"(B) Enabling rotation in Secrets Manager causes the secret to rotate immediately, and the applicationsare using the earlier credential.",(C) The Secrets Manager IAM policy does not allow access to the RDS database.,(D) The Secrets Manager IAM policy does not allow access for the applications.,B,https://docs.aws.amazon.com/secretsmanager/latest/userguide/enable-rotation-rds.html,
113,You are trying to use the AWS Systems Manager run command on a set of Instances. Therun command on a set of Instances. What can you do to diagnose the issue? Choose 2 answers fromthe options given Please select:,(A) Ensure that the SSM agent is running on the target machine,(B) Check the /var/log/amazon/ssm/errors.log file,(C) Ensure the right AMI is used for the Instance,(D) Ensure the security groups allow outbound communication for the instance,A B,"The AWS Documentation mentions the followingIf you experience problems executing commands using Run Command, there might be a problemwith the SSM Agent. Use the following information to help you troubleshoot the agent View AgentLogs The SSM Agent logs information in the following files. The information in these files can help youtroubleshoot problems.On Windows%PROGRAMDATA%\Amazon\SSM\Logs\amazon-ssm-agent.log%PROGRAMDATA%\Amazon\SSM\Logs\error.logThe default filename of the seelog is seelog-xml.template. If you modify a seelog, you must renamethe file to seelog.xml.On Linux/var/log/amazon/ssm/amazon-ssm-agentlog /var/log/amazon/ssm/errors.logOption C is invalid because the right AMI has nothing to do with the issues. The agent which is usedto execute run commands can run on a variety of AMI'S Option D is invalid because security groupsdoes not come into the picture with the communication between the agent and the SSM service Formore information on troubleshooting AWS SSM, please visit the following URL:https://docs.aws.amazon.com/systems-manaeer/latest/userguide/troubleshootine-remote-commands.htmll The correct answers are: Ensure that the SSM agent is running on the targetmachine. Check the/var/log/amazon/ssm/errors.log fileSubmit your Feedback/Queries to our Experts",
114,You have an S3 bucket hosted in AWS. This is used to host promotional videos uploaded byyourself. You need to provide access to users for a limited duration of time. How can this beachieved?62Please select:,(A) Use versioning and enable a timestamp for each version,(B) Use Pre-signed URL's,(C) Use 1AM Roles with a timestamp to limit the access,(D) Use 1AM policies with a timestamp to limit the access,B,"The AWS Documentation mentions the followingAll objects by default are private. Only the object owner has permission to access these objects.However, the object owner can optionally share objects with others by creating a pre-signed URLusing their own security credentials, to grant time-limited permission to download the objects.Option A is invalid because this can be used to prevent accidental deletion of objects Option C isinvalid because timestamps are not possible for Roles Option D is invalid because policies is not theright way to limit access based on time For more information on pre-signed URL's, please visit theURL:https://docs.aws.ama2on.com/AmazonS3/latest/dev/ShareObiectPreSisnedURL.html The correctanswer is: Use Pre-signed URL's Submit your Feedback/Queries to our Experts",
115,A Security Engineer must add additional protection to a legacy web application by addingthe following HTTP security headers:-Content Security-Policy-X-Frame-Options-X-XSS-ProtectionThe Engineer does not have access to the source code of the legacy web application.Which of the following approaches would meet this requirement?,(A) Configure an Amazon Route 53 routing policy to send all web traffic that does not include therequired headers to a black hole.,(B) Implement an AWS Lambda@Edge origin response function that inserts the required headers.,(C) Migrate the legacy application to an Amazon S3 static website and front it with an AmazonCloudFront distribution.,(D) Construct an AWS WAF rule to replace existing HTTP headers with the required security headersby using regular expressions.,B,,
116,A web application runs in a VPC on EC2 instances behind an ELB Application Load Balancer.The application stores data in an RDS MySQL DB instance. A Linux bastion host is used to applyschema updates to the database - administrators connect to the host via SSH from a corporateworkstation. The following security groups are applied to the infrastructure-* sgLB - associated with the ELB* sgWeb - associated with the EC2 instances.* sgDB - associated with the database* sgBastion - associated with the bastion host Which security group configuration will allow theapplication to be secure and functional?Please select:,(A) sgLB :allow port 80 and 443 traffic from 0.0.0.0/063sgWeb :allow port 80 and 443 traffic from 0.0.0.0/0sgDB :allow port 3306 traffic from sgWeb and sgBastionsgBastion: allow port 22 traffic from the corporate IP address range,(B) sgLB :aIlow port 80 and 443 traffic from 0.0.0.0/0sgWeb :allow port 80 and 443 traffic from sgLBsgDB :allow port 3306 traffic from sgWeb and sgLBsgBastion: allow port 22 traffic from the VPC IP address range,(C) sgLB :allow port 80 and 443 traffic from 0.0.0.0/0sgWeb :allow port 80 and 443 traffic from sgLBsgDB :allow port 3306 traffic from sgWeb and sgBastionsgBastion: allow port 22 traffic from the VPC IP address range,(D) sgLB :allow port 80 and 443 traffic from 0.0.0.0/0sgWeb :allow port 80 and 443 traffic from sgLBsgDB :al!ow port 3306 traffic from sgWeb and sgBastionsgBastion: allow port 22 traffic from the corporate IP address range,D,"The Load Balancer should accept traffic on ow port 80 and 443 traffic from 0.0.0.0/0 The backend EC2Instances should accept traffic from the Load Balancer The database should allow traffic from theWeb server And the Bastion host should only allow traffic from a specific corporate IP address rangeOption A is incorrect because the Web group should only allow traffic from the Load balancer Formore information on AWS Security Groups, please refer to below URL:https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/usins-network-security.htmll The correctanswer is: sgLB :allow port 80 and 443 traffic from 0.0.0.0/0 sgWeb :allow port 80 and 443 trafficfrom sgLB sgDB :allow port 3306 traffic from sgWeb and sgBastion sgBastion: allow port 22 trafficfrom the corporate IP address range Submit your Feedback/Queries to our Experts",
117,"An organization has three applications running on AWS, each accessing the same data onAmazon S3. The data on Amazon S3 is server-side encrypted by using an AWS KMS Customer MasterKey (CMK).What is the recommended method to ensure that each application has its own programmatic accesscontrol permissions on the KMS CMK?",(A) Change the key policy permissions associated with the KMS CMK for each application when it mustaccess the data in Amazon S3.,(B) Have each application assume an IAM role that provides permissions to use the AWS CertificateManager CMK.,(C) Have each application use a grant on the KMS CMK to add or remove specific access controls onthe KMS CMK.,(D) Have each application use an IAM policy in a user context to have specific access permissions onthe KMS CMK.,C,,
118,"A Security Engineer is setting up an AWS CloudTrail trail for all regions in an AWS account.For added security, the logs are stored using server-side encryption with AWS KMS-managed keys(SSE-KMS) and have log integrity validation enabled.64While testing the solution, the Security Engineer discovers that the digest files are readable, but thelog files are not. What is the MOST likely cause?",(A) The log files fail integrity validation and automatically are marked as unavailable.,(B) The KMS key policy does not grant the Security Engineer's IAM user or role permissions to decryptwith it.,(C) The bucket is set up to use server-side encryption with Amazon S3-managed keys (SSE-S3) as thedefault and does not allow SSE-KMS-encrypted files.,"(D) An IAM policy applicable to the Security Engineer's IAM user or role denies access to the""CloudTrail/"" prefix in the Amazon S3 bucket",B,,
119,A company is developing a highly resilient application to be hosted on multiple Amazon EC2instances . The application will store highly sensitive user data in Amazon RDS tables The applicationmust* Include migration to a different AWS Region in the application disaster recovery plan.* Provide a full audit trail of encryption key administration events* Allow only company administrators to administer keys.* Protect data at rest using application layer encryptionA Security Engineer is evaluating options for encryption key management Why should the SecurityEngineer choose AWS CloudHSM over AWS KMS for encryption key management in this situation?,(A) The key administration event logging generated by CloudHSM is significantly more extensive thanAWS KMS.,"(B) CloudHSM ensures that only company support staff can administer encryption keys, whereas AWSKMS allows AWS staff to administer keys",(C) The ciphertext produced by CloudHSM provides more robust protection against brute forcedecryption attacks than the ciphertext produced by AWS KMS,"(D) CloudHSM provides the ability to copy keys to a different Region, whereas AWS KMS does not",B,,
120,You are creating a Lambda function which will be triggered by a Cloudwatch Event. The datafrom these events needs to be stored in a DynamoDB table. How should the Lambda function begiven access to the DynamoDB table?Please select:,(A) Put the AWS Access keys in the Lambda function since the Lambda function by default is secure,(B) Use an 1AM role which has permissions to the DynamoDB table and attach it to the Lambdafunction.,(C) Use the AWS Access keys which has access to DynamoDB and then place it in an S3 bucket.,(D) Create a VPC endpoint for the DynamoDB table. Access the VPC endpoint from the Lambdafunction.,B,"AWS Lambda functions uses roles to interact with other AWS services. So use an 1AM role which haspermissions to the DynamoDB table and attach it to the Lambda function.Options A and C are all invalid because you should never use AWS keys for access.65Option D is invalid because the VPC endpoint is used for VPCsFor more information on Lambda function Permission model, please visit the URLhttps://docs.aws.amazon.com/lambda/latest/dg/intro-permission-model.html The correct answer is:Use an 1AM role which has permissions to the DynamoDB table and attach it to the Lambda function.Submit your Feedback/Queries to our Experts",
121,"You are deivising a policy to allow users to have the ability to access objects in a bucketcalled appbucket.You define the below custom bucket policy But when you try to apply the policy you get the error ""Action does not apply to any resource(s) instatement."" What should be done to rectify the error Please select:",(A) Change the 1AM permissions by applying PutBucketPolicy permissions.,(B) Verify that the policy has the same name as the bucket name. If not. make it the same.,"(C) Change the Resource section to ""arn:aws:s3:::appbucket/*'.","(D) Create the bucket ""appbucket"" and then apply the policy.",C,"When you define access to objects in a bucket you need to ensure that you specify to which objectsin the bucket access needs to be given to. In this case, the * can be used to assign the permission toall objects in the bucket Option A is invalid because the right permissions are already provided as perthe question requirement Option B is invalid because it is not necessary that the policy has the samename as the bucket Option D is invalid because this should be the default flow for applying the policy66For more information on bucket policies please visit the below URL:https://docs.aws.amazon.com/AmazonS3/latest/dev/example-bucket-policies.htmll The correctanswer is: Change the Resource section to ""arn:aws:s3:::appbucket/"" Submit your Feedback/Queriesto our Experts",
122,A security team is creating a response plan in the event an employee executes unauthorizedactions on AWS infrastructure. They want to include steps to determine if the employee's 1AMpermissions changed as part of the incident.What steps should the team document in the plan?Please select:,(A) Use AWS Config to examine the employee's 1AM permissions prior to the incident and comparethem to the employee's current 1AM permissions.,(B) Use Made to examine the employee's 1AM permissions prior to the incident and compare them tothe employee's A current 1AM permissions.,(C) Use CloudTrail to examine the employee's 1AM permissions prior to the incident and comparethem to the employee's current 1AM permissions.,(D) Use Trusted Advisor to examine the employee's 1AM permissions prior to the incident andcompare them to the employee's current 1AM permissions.,A,"You can use the AWSConfig history to see the history of a particular item.The below snapshot shows an example configuration for a user in AWS ConfigOption B,C and D are all invalid because these services cannot be used to see the history of aparticular configuration item. This can only be accomplished by AWS Config.For more information on tracking changes in AWS Config, please visit the below URL:https://docs.aws.amazon.com/AmazonCloudFront/latest/DeveloperGuide/TrackineChanees.htmllThe correct answer is: Use AWS Config to examine the employee's 1AM permissions prior to theincident and compare them the employee's current 1AM permissions.Submit your Feedback/Queries to our Experts",
123,There is a set of Ec2 Instances in a private subnet. The application hosted on these EC2Instances need to access a DynamoDB table. It needs to be ensured that traffic does not flow out tothe internet. How can this be achieved?Please select:,(A) Use a VPC endpoint to the DynamoDB table,(B) Use a VPN connection from the VPC67,(C) Use a VPC gateway from the VPC,(D) Use a VPC Peering connection to the DynamoDB table,A,"The following diagram from the AWS Documentation shows how you can access the DynamoDBservice from within a V without going to the Internet This can be done with the help of a VPCendpointOption B is invalid because this is used for connection between an on-premise solution and AWSOption C is invalid because there is no such option Option D is invalid because this is used to connect2 VPCs For more information on VPC endpointsfor DynamoDB, please visit the URL:The correct answer is: Use a VPC endpoint to the DynamoDB table Submit your Feedback/Queries toour Experts",
124,"The Security Engineer is managing a web application that processes highly sensitive personalinformation. The application runs on Amazon EC2. The application has strict compliancerequirements, which instruct that all incoming traffic to the application is protected from commonweb exploits and that all outgoing traffic from the EC2 instances is restricted to specific whitelistedURLs.Which architecture should the Security Engineer use to meet these requirements?",(A) Use AWS Shield to scan inbound traffic for web exploits. Use VPC Flow Logs and AWS Lambda to68restrict egress traffic to specific whitelisted URLs.,(B) Use AWS Shield to scan inbound traffic for web exploits. Use a third-party AWS Marketplacesolution to restrict egress traffic to specific whitelisted URLs.,(C) Use AWS WAF to scan inbound traffic for web exploits. Use VPC Flow Logs and AWS Lambda torestrict egress traffic to specific whitelisted URLs.,(D) Use AWS WAF to scan inbound traffic for web exploits. Use a third-party AWS Marketplacesolution to restrict egress traffic to specific whitelisted URLs.,D,"AWS Shield is mainly for DDos Attacks.AWS WAF is mainly for some other types of attacks likeInjection and XSS etcIn this scenario, It seems it is WAF functionality that is needed.VPC logs do showthe source and destination IP and Port , they never show any URL .. because URL are level 7 whileVPC are concerned about lover network levels.https://docs.aws.amazon.com/vpc/latest/userguide/flow-logs.html",
128,Your company has a set of EBS volumes defined in AWS. The security mandate is that all EBSvolumes are encrypted. What can be done to notify the IT admin staff if there are any unencryptedvolumes in the account.Please select:,(A) Use AWS Inspector to inspect all the EBS volumes,(B) Use AWS Config to check for unencrypted EBS volumes,(C) Use AWS Guard duty to check for the unencrypted EBS volumes,(D) Use AWS Lambda to check for the unencrypted EBS volumes,B,"The encconfig rule for AWS Config can be used to check for unencrypted volumes.70encrypted-volurrn5 volumes that are in an attached state are encrypted. If you specify the ID of a KMS key for encryptiousing the kmsld parameter, the rule checks if the EBS volumes in an attached state are encryptedwith that KMS key*1.Options A and C are incorrect since these services cannot be used to check for unencrypted EBSvolumes Option D is incorrect because even though this is possible, trying to implement the solutionalone with just the Lambda servk would be too difficult For more information on AWS Config andencrypted volumes, please refer to below URL:* https://docs.aws.amazon.com/config/latest/developerguide/encrypted-volumes.html Submit yourFeedback/Queries to our Experts",
129,"An auditor needs access to logs that record all API events on AWS. The auditor only needsread-only access to the log files and does not need access to each AWS account. The company hasmultiple AWS accounts, and the auditor needs access to all the logs for all the accounts. What is thebest way to configure access for the auditor to view event logs from all accounts? Choose the correctanswer from the options below Please select:","(A) Configure the CloudTrail service in each AWS account, and have the logs delivered to an AWSbucket on each account, while granting the auditor permissions to the bucket via roles in thesecondary accounts and a single primary 1AM account that can assume a read-only role in thesecondary AWS accounts.",(B) Configure the CloudTrail service in the primary AWS account and configure consolidated billing forall the secondary accounts. Then grant the auditor access to the S3 bucket that receives theCloudTrail log files.,(C) Configure the CloudTrail service in each AWS account and enable consolidated logging inside ofCloudTrail.,(D) Configure the CloudTrail service in each AWS account and have the logs delivered to a single AWSbucket in the primary account and erant the auditor access to that single bucket in the orimarvaccount.,D,"Given the current requirements, assume the method of ""least privilege"" security design and onlyallow the auditor access to the minimum amount of AWS resources as possibli AWS CloudTrail is aservice that enables governance, compliance, operational auditing, and risk auditing of your AWSaccount. With CloudTrail, you can log, continuously monitor, and retain events related to API callsacross your AWS infrastructure. CloudTrail provides a history of AWS API calls for your accountincluding API calls made through the AWS Management Console, AWS SDKs, command line tools, andother AWS services. This history simplifies security analysis, resource change tracking, andtroubleshooting only be granted access in one location Option Option A is incorrect since the auditorshould B is incorrect since consolidated billing is not a key requirement as part of the question OptionC is incorrect since there is not consolidated logging For more information on Cloudtrail please referto the below URL:https://aws.amazon.com/cloudtraiL(The correct answer is: Configure the CloudTrail service in each AWS account and have the logsdelivered to a single AWS bud in the primary account and grant the auditor access to that single71bucket in the primary account.Submit your Feedback/Queries to our Experts",
131,"You have been given a new brief from your supervisor for a client who needs a webapplication set up on AWS. The a most important requirement is that MySQL must be used as thedatabase, and this database must not be hosted in ts public cloud, but rather at the client's datacenter due to security risks. Which of the following solutions would be the ^ best to assure that theclient's requirements are met? Choose the correct answer from the options below Please select:",(A) Build the application server on a public subnet and the database at the client's data center.Connect them with a VPN connection which uses IPsec.,(B) Use the public subnet for the application server and use RDS with a storage gateway to access andsynchronize the data securely from the local data center.,(C) Build the application server on a public subnet and the database on a private subnet with a NATinstance between them.,(D) Build the application server on a public subnet and build the database in a private subnet with asecure ssh connection to the private subnet from the client's data center.,A,"Since the database should not be hosted on the cloud all other options are invalid.72The best option is to create a VPN connection for securing traffic as shown below.Option B is invalid because this is the incorrect use of the Storage gateway Option C is invalid sincethis is the incorrect use of the NAT instance Option D is invalid since this is an incorrect configurationFor more information on VPN connections, please visit the below URLhttp://docs.aws.amazon.com/AmazonVPC/latest/UserGuide/VPC_VPN.htmllThe correct answer is: Build the application server on a public subnet and the database at the client'sdata center. Connect them with a VPN connection which uses IPsec Submit your Feedback/Queries toour Experts",
132,"When managing permissions for the API gateway, what can be used to ensure that the rightlevel of permissions are given to developers, IT admins and users? These permissions should be easilymanaged.Please select:",(A) Use the secure token service to manage the permissions for the different users,(B) Use 1AM Policies to create different policies for the different types of users.,(C) Use the AWS Config tool to manage the permissions for the different users,(D) Use 1AM Access Keys to create sets of keys for the different types of users.,B,"The AWS Documentation mentions the followingYou control access to Amazon API Gateway with 1AM permissions by controlling access to thefollowing two API Gateway component processes:* To create, deploy, and manage an API in API Gateway, you must grant the API developerpermissions to perform the required actions supported by the API management component of APIGateway.* To call a deployed API or to refresh the API caching, you must grant the API caller permissions toperform required 1AM actions supported by the API execution component of API Gateway.Option A, C and D are invalid because these cannot be used to control access to AWS services. This73needs to be done via policies. For more information on permissions with the API gateway, please visitthe following URL:https://docs.aws.amazon.com/apisateway/latest/developerguide/permissions.html The correctanswer is: Use 1AM Policies to create different policies for the different types of users. Submit yourFeedback/Queries to our Experts",
134,The InfoSec team has mandated that in the future only approved Amazon Machine Images(AMIs) can be used.How can the InfoSec team ensure compliance with this mandate?,(A) Terminate all Amazon EC2 instances and relaunch them with approved AMIs.,(B) Patch all running instances by using AWS Systems Manager.,(C) Deploy AWS Config rules and check all running instances for compliance.,(D) Define a metric filter in Amazon CloudWatch Logs to verify compliance.,C,https://docs.aws.amazon.com/config/latest/developerguide/approved-amis-by-id.html,
135,Your company has defined privileged users for their AWS Account. These users areadministrators for key resources defined in the company. There is now a mandate to enhance thesecurity authentication for these users. How can this be accomplished?Please select:74,(A) Enable MFA for these user accounts,(B) Enable versioning for these user accounts,(C) Enable accidental deletion for these user accounts,(D) Disable root access for the users,A,"The AWS Documentation mentions the following as a best practices for 1AM users. For extra security,enable multi-factor authentication (MFA) for privileged 1AM users (users who are allowed access tosensitive resources or APIs). With MFA, users have a device that generates unique authenticationcode (a one-time password, or OTP). Users must provide both their normal credentials (like their username and password) and the OTP. The MFA device can either be a special piece of hardware, or itcan be a virtual device (for example, it can run in an app on a smartphone).Option B,C and D are invalid because no such security options are available in AWS For moreinformation on1AM best practices, please visit the below URLhttps://docs.aws.amazon.com/IAM/latest/UserGuide/best-practices.html The correct answer is:Enable MFA for these user accounts Submit your Feedback/Queries to our Experts",
136,Your company has mandated that all calls to the AWS KMS service be recorded. How canthis be achieved?Please select:,(A) Enable logging on the KMS service,(B) Enable a trail in Cloudtrail,(C) Enable Cloudwatch logs,(D) Use Cloudwatch metrics,B,"The AWS Documentation states the followingAWS KMS is integrated with CloudTrail, a service that captures API calls made by or on behalf of AWSKMS in your AWS account and delivers the log files to an Amazon S3 bucket that you specify.CloudTrail captures API calls from the AWS KMS console or from the AWS KMS API. Using theinformation collected by CloudTrail, you can determine what request was made, the source IPaddress from which the request was made, who made the request when it was made, and so on.Option A is invalid because logging is not possible in the KMS serviceOption C and D are invalid because Cloudwatch cannot be used to monitor API calls For moreinformation on logging using Cloudtrail please visit the below URLhttps://docs.aws.amazon.com/kms/latest/developerguide/loeeing-usine-cloudtrail.html The correctanswer is: Enable a trail in Cloudtrail Jubmit your Feedback/Queries to our Experts",
137,"In response to the past DDoS attack experiences, a Security Engineer has set up an AmazonCloudFront distribution for an Amazon S3 bucket. There is concern that some users may bypass theCloudFront distribution and access the S3 bucket directly.What must be done to prevent users from accessing the S3 objects directly by using URLs?",(A) Change the S3 bucket/object permission so that only the bucket owner has access.,"(B) Set up a CloudFront origin access identity (OAI), and change the S3 bucket/object permission so75that only the OAI has access.","(C) Create IAM roles for CloudFront, and change the S3 bucket/object permission so that only the IAMrole has access.",(D) Redirect S3 bucket access to the corresponding CloudFront distribution.,B,https://docs.aws.amazon.com/AmazonCloudFront/latest/DeveloperGuide/private-content-restricting-access-to-s3,
138,A company is planning on using AWS EC2 and AWS Cloudfrontfor their web application. Forwhich one of the below attacks is usage of Cloudfront most suited for?Please select:,(A) Cross side scripting,(B) SQL injection,(C) DDoS attacks,(D) Malware attacks,C,"The below table from AWS shows the security capabilities of AWS Cloudfront AWS Cloudfront is moreprominent for DDoS attacks.Options A,B and D are invalid because Cloudfront is specifically used to protect sites against DDoSattacks For more information on security with Cloudfront, please refer to the below Link:https://d1.awsstatic.com/whitepapers/Security/Secure content delivery with CloudFrontwhitepaper.pdi The correct answer is: DDoS attacks Submit your Feedback/Queries to our Experts",
139,"A company is planning on using AWS for hosting their applications. They want completeseparation and isolation of their production , testing and development environments. Which of thefollowing is an ideal way to design such a setup?Please select:",(A) Use separate VPCs for each of the environments76,(B) Use separate 1AM Roles for each of the environments,(C) Use separate 1AM Policies for each of the environments,(D) Use separate AWS accounts for each of the environments,D,"A recommendation from the AWS Security Best practices highlights this as welloption A is partially valid, you can segregate resources, but a best practise is to have multipleaccounts for this setup.Options B and C are invalid because from a maintenance perspective this could become very difficultFor more information on the Security Best practices, please visit the following URL:https://dl.awsstatic.com/whitepapers/Security/AWS_Security_Best_Practices.pdf The correct answeris: Use separate AWS accounts for each of the environments Submit your Feedback/Queries to ourExperts",
140,You are responsible to deploying a critical application onto AWS. Part of the requirementsfor this application is to ensure that the controls set for this application met PCI compliance. Alsothere is a need to monitor web application logs to identify any malicious activity. Which of thefollowing services can be used to fulfil this requirement. Choose 2 answers from the options givenbelow Please select:,(A) Amazon Cloudwatch Logs,(B) Amazon VPC Flow Logs,(C) Amazon AWS Config,(D) Amazon Cloudtrail,A D,"The AWS Documentation mentions the following about these servicesAWS CloudTrail is a service that enables governance, compliance, operational auditing, and risk77auditing of your AWS account. With CloudTrail, you can log, continuously monitor, and retain accountactivity related to actions across your AWS infrastructure. CloudTrail provides event history of yourAWS account activity, including actions taken through the AWS Management Console, AWS SDKs,command line tools, and other AWS services. This event history simplifies security analysis, resourcechange tracking, and troubleshooting.Option B is incorrect because VPC flow logs can only check for flow to instances in a VPC Option C isincorrect because this can check for configuration changes only For more information on Cloudtrail,please refer to below URL:https://aws.amazon.com/cloudtrail;You can use Amazon CloudWatch Logs to monitor, store, and access your log files from AmazonElastic Compute Cloud (Amazon EC2) instances, AWS CloudTrail, Amazon Route 53, and othersources. You can then retrieve the associated log data from CloudWatch Logs.For more information on Cloudwatch logs, please refer to below URL:http://docs.aws.amazon.com/AmazonCloudWatch/latest/loes/WhatisCloudWatchLoES.htmll Thecorrect answers are: Amazon Cloudwatch Logs, Amazon Cloudtrail",
