QuestionID,QuestionContent,A,B,C,D,E,F,G,H,I,J,K,L,M,Answer,Explain
191,"- (Exam Topic 2)
A company wants to have an Intrusion detection system available for their VPC in AWS. They want to have complete control over the system. Which of the
following would be ideal to implement?
Please select:
",A. Use AWS WAF to catch all intrusions occurring on the systems in the VPC,B. Use a custom solution available in the AWS Marketplace,C. Use VPC Flow logs to detect the issues and flag them accordingly.,D. Use AWS Cloudwatch to monitor all traffic,,,,,,,,,,B,"Sometimes companies want to have custom solutions in place for monitoring Intrusions to their systems. In such a case, you can use the AWS Marketplace for
looking at custom solutions.
C:\Users\wk\Desktop\mudassar\Untitled.jpg
Option A.C and D are all invalid because they cannot be used to conduct intrusion detection or prevention. For more information on using custom security solutions
please visit the below URL https://d1.awsstatic.com/Marketplace/security/AWSMP_Security_Solution%200verview.pdf
For more information on using custom security solutions please visit the below URL: https://d1 .awsstatic.com/Marketplace/security/AWSMP Security
Solution%20Overview.pd1
The correct answer is: Use a custom solution available in the AWS Marketplace Submit your Feedback/Queries to our Experts"
196,"- (Exam Topic 2)
An organization is using Amazon CloudWatch Logs with agents deployed on its Linux Amazon EC2 instances. The agent configuration files have been checked
and the application log files to be pushed are configured correctly. A review has identified that logging from specific instances is missing.
Which steps should be taken to troubleshoot the issue? (Choose two.)
",A. Use an EC2 run command to confirm that the “awslogs” service is running on all instances.,B. Verify that the permissions used by the agent allow creation of log groups/streams and to put log events.,C. Check whether any application log entries were rejected because of invalid time stamps by reviewing/var/cwlogs/rejects.log.,D. Check that the trust relationship grants the service “cwlogs.amazonaws.com” permission to write objects to the Amazon S3 staging bucket.,E. Verify that the time zone on the application servers is in UTC.,,,,,,,,,AB,"EC2 run command - can run scripts, install software, collect metrics and log files, manage patches and more. Bringing these two services together - can create
CloudWatch Events rules that use EC2 Run Command to perform actions on EC2 instances or on-premises servers."
199,"- (Exam Topic 2)
An AWS account includes two S3 buckets: bucket1 and bucket2. The bucket2 does not have a policy defined, but bucket1 has the following bucket policy:In addition, the same account has an IAM User named “alice”, with the following IAM policy.Which buckets can user “alice” access?
",A. Bucket1 only,B. Bucket2 only,C. Both bucket1 and bucket2,D. Neither bucket1 nor bucket2,,,,,,,,,,C,"Both S3 policies and IAM policies can be used to grant access to buckets. IAM policies specify what actions are allowed or denied on what AWS resources (e.g.
allow ec2:TerminateInstance on the EC2 instance with instance_id=i-8b3620ec). You attach IAM policies to IAM users, groups, or roles, which are then subject to
the permissions you’ve defined. In other words, IAM policies define what a principal can do in your AWS environment. S3 bucket policies, on the other hand, are
attached only to S3 buckets. S3 bucket policies specify what actions are allowed or denied for which principals on the bucket that the bucket policy is attached to
(e.g. allow user Alice to PUT but not DELETE objects in the bucket).
https://aws.amazon.com/blogs/security/iam-policies-and-bucket-policies-and-acls-oh-my-controlling-access-to-s"
204,"- (Exam Topic 2)
Which of the following is not a best practice for carrying out a security audit? Please select:
",A. Conduct an audit on a yearly basis,B. Conduct an audit if application instances have been added to your account,C. Conduct an audit if you ever suspect that an unauthorized person might have accessed your account,D. Whenever there are changes in your organization,,,,,,,,,,A,"A year's time is generally too long a gap for conducting security audits The AWS Documentation mentions the following
You should audit your security configuration in the following situations: On a periodic basis.
If there are changes in your organization, such as people leaving.
If you have stopped using one or more individual AWS services. This is important for removing permissions that users in your account no longer need.
If you've added or removed software in your accounts, such as applications on Amazon EC2 instances, AWS OpsWor stacks, AWS CloudFormation templates,
etc.
If you ever suspect that an unauthorized person might have accessed your account.
Option B, C and D are all the right ways and recommended best practices when it comes to conducting audits For more information on Security Audit guideline,
please visit the below URL:
https://docs.aws.amazon.com/eeneral/latest/gr/aws-security-audit-euide.html
The correct answer is: Conduct an audit on a yearly basis Submit your Feedback/Queries to our Experts"
209,"- (Exam Topic 2)
A company has a few dozen application servers in private subnets behind an Elastic Load Balancer (ELB) in an AWS Auto Scaling group. The application is
accessed from the web over HTTPS. The data must always be encrypted in transit. The Security Engineer is worried about potential key exposure due to
vulnerabilities in the application software.
Which approach will meet these requirements while protecting the external certificate during a breach?
",A. Use a Network Load Balancer (NLB) to pass through traffic on port 443 from the internet to port 443 on the instances.,"B. Purchase an external certificate, and upload it to the AWS Certificate Manager (for use with the ELB) and to the instance","C. Have the ELB decrypt traffic, and route and re-encrypt with the same certificate.",D. Generate an internal self-signed certificate and apply it to the instance,E. Use AWS Certificate Manager to generate a new external certificate for the EL,"F. Have the ELB decrypt traffic, and route andre-encrypt with the internal certificate.",G. Upload a new external certificate to the load balance,H. Have the ELB decrypt the traffic and forward it on port 80 to the instances.,,,,,,C,
214,"- (Exam Topic 2)
A security alert has been raised for an Amazon EC2 instance in a customer account that is exhibiting strange behavior. The Security Engineer must first isolate the
EC2 instance and then use tools for further investigation.
What should the Security Engineer use to isolate and research this event? (Choose three.)
",A. AWS CloudTrail,B. Amazon Athena,C. AWS Key Management Service (AWS KMS),D. VPC Flow Logs,E. AWS Firewall Manager,F. Security groups,,,,,,,,ADF,https://github.com/awslabs/aws-well-architected-labs/blob/master/Security/300_Incident_Response_with_AWS
218,"- (Exam Topic 2)
An application makes calls to AWS services using the AWS SDK. The application runs on Amazon EC2 instances with an associated IAM role. When the
application attempts to access an object within an Amazon S3 bucket; the Administrator receives the following error message: HTTP 403: Access Denied.
Which combination of steps should the Administrator take to troubleshoot this issue? (Select three.)
",A. Confirm that the EC2 instance's security group authorizes S3 access.,B. Verify that the KMS key policy allows decrypt access for the KMS key for this IAM principle.,C. Check the S3 bucket policy for statements that deny access to objects.,D. Confirm that the EC2 instance is using the correct key pair.,E. Confirm that the IAM role associated with the EC2 instance has the proper privileges.,F. Confirm that the instance and the S3 bucket are in the same Region.,,,,,,,,BCE,
220,"- (Exam Topic 2)
An IAM user with fill EC2 permissions could bot start an Amazon EC2 instance after it was stopped for a maintenance task. Upon starting the instance, the
instance state would change to “Pending”, but after a few seconds, it would switch back to “Stopped”.
An inspection revealed that the instance has attached Amazon EBS volumes that were encrypted by using a Customer Master Key (CMK). When these encrypted
volumes were detached, the IAM user was able to start the EC2 instances.
The IAM user policy is as follows:What additional items need to be added to the IAM user policy? (Choose two.)
",A. kms:GenerateDataKey,B. kms:Decrypt,C. kms:CreateGrant,D. “Condition”: {“Bool”: {“kms:ViaService”: “ec2.us-west-2.amazonaws.com”}},E. “Condition”: {“Bool”: {“kms:GrantIsForAWSResource”: true}},,,,,,,,,CE,"The EBS which is AWS resource service is encrypted with CMK and to allow EC2 to decrypt , the IAM user should create a grant ( action) and a boolean condition
for the AWs resource . This link explains how AWS keys works. https://docs.aws.amazon.com/kms/latest/developerguide/key-policies.html"
222,"- (Exam Topic 2)
Example.com hosts its internal document repository on Amazon EC2 instances. The application runs on EC2 instances and previously stored the documents on
encrypted Amazon EBS volumes. To optimize the application for scale, example.com has moved the files to Amazon S3. The security team has mandated that all
the files are securely deleted from the EBS volume, and it must certify that the data is unreadable before releasing the underlying disks.
Which of the following methods will ensure that the data is unreadable by anyone else?
",A. Change the volume encryption on the EBS volume to use a different encryption mechanis,"B. Then, release the EBS volumes back to AWS.",C. Release the volumes back to AW,D. AWS immediately wipes the disk after it is deprovisioned.,E. Delete the encryption key used to encrypt the EBS volum,"F. Then, release the EBS volumes back to AWS.",G. Delete the data by using the operating system delete command,H. Run Quick Format on the drive and then release the EBS volumes back to AWS.,,,,,,D,"Amazon EBS volumes are presented to you as raw unformatted block devices that have been wiped prior to being made available for use. Wiping occurs
immediately before reuse so that you can be assured that the wipe process completed. If you have procedures requiring that all data be wiped via a specific
method, such as those detailed in NIST 800-88 (“Guidelines for Media Sanitization”), you have the ability to do so on Amazon EBS. You should conduct a
specialized wipe procedure prior to deleting the volume for compliance with your established requirements.
https://d0.awsstatic.com/whitepapers/aws-security-whitepaper.pdf"
226,"- (Exam Topic 2)
While analyzing a company's security solution, a Security Engineer wants to secure the AWS account root user.
What should the Security Engineer do to provide the highest level of security for the account?
",A. Create a new IAM user that has administrator permissions in the AWS accoun,B. Delete the password forthe AWS account root user.,C. Create a new IAM user that has administrator permissions in the AWS accoun,D. Modify the permissions for the existing IAM users.,E. Replace the access key for the AWS account root use,F. Delete the password for the AWS account root user.,G. Create a new IAM user that has administrator permissions in the AWS accoun,H. Enable multi-factor authentication for the AWS account root user.,,,,,,D,"If you continue to use the root user credentials, we recommend that you follow the security best practice to enable multi-factor authentication (MFA) for your
account. Because your root user can perform sensitive operations in your account, adding an additional layer of authentication helps you to better secure your
account. Multiple types of MFA are available."
229,"- (Exam Topic 2)
An organization receives an alert that indicates that an EC2 instance behind an ELB Classic Load Balancer has been compromised.
What techniques will limit lateral movement and allow evidence gathering?
",A. Remove the instance from the load balancer and terminate it.,"B. Remove the instance from the load balancer, and shut down access to the instance by tightening the security group.",C. Reboot the instance and check for any Amazon CloudWatch alarms.,D. Stop the instance and make a snapshot of the root EBS volume.,,,,,,,,,,B,https://d1.awsstatic.com/whitepapers/aws_security_incident_response.pdf
233,"- (Exam Topic 2)
A company is hosting a website that must be accessible to users for HTTPS traffic. Also port 22 should be open for administrative purposes. The administrator's
workstation has a static IP address of 203.0.113.1/32. Which of the following security group configurations are the MOST secure but still functional to support
these requirements? Choose 2 answers from the options given below
Please select:
",A. Port 443 coming from 0.0.0.0/0,B. Port 443 coming from 10.0.0.0/16,C. Port 22 coming from 0.0.0.0/0,D. Port 22 coming from 203.0.113.1/32,,,,,,,,,,AD,"Since HTTPS traffic is required for all users on the Internet, Port 443 should be open on all IP addresses. For port 22, the traffic should be restricted to an internal
subnet.
Option B is invalid, because this only allow traffic from a particular CIDR block and not from the internet Option C is invalid because allowing port 22 from the
internet is a security risk
For more information on AWS Security Groups, please visit the following UR https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/usins-network-secunty.htmll
The correct answers are: Port 443 coming from 0.0.0.0/0, Port 22 coming from 203.0.113.1 /32 Submit your Feedback/Queries to our Experts"
234,"- (Exam Topic 2)
The InfoSec team has mandated that in the future only approved Amazon Machine Images (AMIs) can be used.
How can the InfoSec team ensure compliance with this mandate?
",A. Terminate all Amazon EC2 instances and relaunch them with approved AMIs.,B. Patch all running instances by using AWS Systems Manager.,C. Deploy AWS Config rules and check all running instances for compliance.,D. Define a metric filter in Amazon CloudWatch Logs to verify compliance.,,,,,,,,,,C,https://docs.aws.amazon.com/config/latest/developerguide/approved-amis-by-id.html
236,"- (Exam Topic 2)
A security team must present a daily briefing to the CISO that includes a report of which of the company's thousands of EC2 instances and on-premises servers
are missing the latest security patches. All instances/servers must be brought into compliance within 24 hours so they do not show up on the next day's report.
How can the security team fulfill these requirements?
Please select:
","A. Use Amazon QuickSight and Cloud Trail to generate the report of out of compliance instances/servers.Redeploy all out of compliance instances/servers using
an AMI with the latest patches.",B. Use Systems Manger Patch Manger to generate the report of out of compliance instances/ server,C. Use Systems Manager Patch Manger to install the missing patches.,"D. Use Systems Manger Patch Manger to generate the report of out of compliance instances/ servers.Redeploy all out of1 compliance instances/servers using an
AMI with the latest patches.",E. Use Trusted Advisor to generate the report of out of compliance instances/server,F. Use Systems Manger Patch Manger to install the missing patches.,,,,,,,,B,"Use the Systems Manger Patch Manger to generate the report and also install the missing patches The AWS Documentation mentions the following
AWS Systems Manager Patch Manager automates the process of patching managed instances with
security-related updates. For Linux-based instances, you can also install patches for non-security updates. You can patch fleets of Amazon EC2 instances or your
on-premises servers and virtual machines (VMs) by operating system type. This includes supported versions of Windows, Ubuntu Server, Red Hat Enterprise
Linux (RHEL), SUSE Linux Enterprise Server (SLES), and Amazon Linux. You can scan instances to see only a report of missing patches, or you can scan and
automatically install all missing patches.
Option A is invalid because Amazon QuickSight and Cloud Trail cannot be used to generate the list of servers that don't meet compliance needs.
Option C is wrong because deploying instances via new AMI'S would impact the applications hosted on these servers
Option D is invalid because Amazon Trusted Advisor cannot be used to generate the list of servers that don't meet compliance needs.
For more information on the AWS Patch Manager, please visit the below URL:
https://docs.aws.amazon.com/systems-manager/latest/userguide/systems-manager-patch.html (
The correct answer is: Use Systems Manger Patch Manger to generate the report of out of compliance instances/ servers. Use Systems Manager Patch Manger to
install the missing patches.
Submit your Feedback/Queries to our Experts"
237,"- (Exam Topic 2)
Your company has mandated that all calls to the AWS KMS service be recorded. How can this be achieved? Please select:
",A. Enable logging on the KMS service,B. Enable a trail in Cloudtrail,C. Enable Cloudwatch logs,D. Use Cloudwatch metrics,,,,,,,,,,B,"The AWS Documentation states the following
AWS KMS is integrated with CloudTrail, a service that captures API calls made by or on behalf of AWS KMS in your AWS account and delivers the log files to an
Amazon S3 bucket that you specify. CloudTrail captures API calls from the AWS KMS console or from the AWS KMS API. Using the information collected by
CloudTrail, you can determine what request was made, the source IP address from which the request was made, who made the request when it was made, and so
on.
Option A is invalid because logging is not possible in the KMS service
Option C and D are invalid because Cloudwatch cannot be used to monitor API calls For more information on logging using Cloudtrail please visit the below URL
https://docs.aws.amazon.com/kms/latest/developerguide/loeeing-usine-cloudtrail.html The correct answer is: Enable a trail in Cloudtrail
Jubmit your Feedback/Queries to our Experts"
239,"- (Exam Topic 2)
An application has been built with Amazon EC2 instances that retrieve messages from Amazon SQS. Recently, IAM changes were made and the instances can no
longer retrieve messages.
What actions should be taken to troubleshoot the issue while maintaining least privilege. (Select two.)
",A. Configure and assign an MFA device to the role used by the instances.,B. Verify that the SQS resource policy does not explicitly deny access to the role used by the instances.,C. Verify that the access key attached to the role used by the instances is active.,D. Attach the AmazonSQSFullAccess managed policy to the role used by the instances.,E. Verify that the role attached to the instances contains policies that allow access to the queue.,,,,,,,,,BE,
242,"- (Exam Topic 2)
A Security Administrator is restricting the capabilities of company root user accounts. The company uses AWS Organizations and has enabled it for all feature
sets, including consolidated billing. The top-level account is used for billing and administrative purposes, not for operational AWS resource purposes.
How can the Administrator restrict usage of member root user accounts across the organization?
",A. Disable the use of the root user account at the organizational roo,B. Enable multi-factor authentication of the root user account for each organizational member account.,C. Configure IAM user policies to restrict root account capabilities for each Organizations member account.,D. Create an organizational unit (OU) in Organizations with a service control policy that controls usage of the root use,E. Add all operational accounts to the new OU.,F. Configure AWS CloudTrail to integrate with Amazon CloudWatch Logs and then create a metric filter for RootAccountUsage.,,,,,,,,C,"Applying a ""Control Policy"" in your organization. A policy applied to: 1) root applies to all accounts in the organization 2) OU applies to all accounts in the OU and
to any child OUs 3) account applies to one account only Note- this requires that Acquirements: -all features are enabled for the organization in AWS Organizations
-Only service control policy (SCP) are supported https://docs.aws.amazon.com/organizations/latest/userguide/orgs_manage_policies.html"
245,"- (Exam Topic 2)
A Development team has asked for help configuring the IAM roles and policies in a new AWS account. The team using the account expects to have hundreds of
master keys and therefore does not want to manage access control for customer master keys (CMKs).
Which of the following will allow the team to manage AWS KMS permissions in IAM without the complexity of editing individual key policies?
",A. The account’s CMK key policy must allow the account’s IAM roles to perform KMS EnableKey.,B. Newly created CMKs must have a key policy that allows the root principal to perform all actions.,C. Newly created CMKs must allow the root principal to perform the kms CreateGrant API operation.,D. Newly created CMKs must mirror the IAM policy of the KMS key administrator.,,,,,,,,,,B,https://docs.aws.amazon.com/kms/latest/developerguide/key-policies.html#key-policy-default-allow-root-enable
249,"- (Exam Topic 2)
The AWS Systems Manager Parameter Store is being used to store database passwords used by an AWS Lambda function. Because this is sensitive data, the
parameters are stored as type SecureString and protected by an AWS KMS key that allows access through IAM. When the function executes, this parameter
cannot be retrieved as the result of an access denied error.
Which of the following actions will resolve the access denied error?
",A. Update the ssm.amazonaws.com principal in the KMS key policy to allow kms: Decrypt.,B. Update the Lambda configuration to launch the function in a VP,"C.
C. Add a policy to the role that the Lambda function uses, allowing kms: Decrypt for the KMS key.",D. Add lambda.amazonaws.com as a trusted entity on the IAM role that the Lambda function uses.,,,,,,,,,,C,https://docs.amazonaws.cn/en_us/AmazonRDS/latest/AuroraUserGuide/AuroraMySQL.Integrating.Authorizing
253,"- (Exam Topic 2)
A threat assessment has identified a risk whereby an internal employee could exfiltrate sensitive data from production host running inside AWS (Account 1). The
threat was documented as follows:
Threat description: A malicious actor could upload sensitive data from Server X by configuring credentials for an AWS account (Account 2) they control and
uploading data to an Amazon S3 bucket within their control.
Server X has outbound internet access configured via a proxy server. Legitimate access to S3 is required so that the application can upload encrypted files to an
S3 bucket. Server X is currently using an IAM instance role. The proxy server is not able to inspect any of the server communication due to TLS encryption.
Which of the following options will mitigate the threat? (Choose two.)
",A. Bypass the proxy and use an S3 VPC endpoint with a policy that whitelists only certain S3 buckets within Account 1.,B. Block outbound access to public S3 endpoints on the proxy server.,C. Configure Network ACLs on Server X to deny access to S3 endpoints.,D. Modify the S3 bucket policy for the legitimate bucket to allow access only from the public IP addresses associated with the application server.,E. Remove the IAM instance role from the application server and save API access keys in a trusted and encrypted application config file.,,,,,,,,,AB,
254,"- (Exam Topic 2)
What is the function of the following AWS Key Management Service (KMS) key policy attached to a customer master key (CMK)?","A. The Amazon WorkMail and Amazon SES services have delegated KMS encrypt and decrypt permissions to the ExampleUser principal in the 111122223333
account.",B. The ExampleUser principal can transparently encrypt and decrypt email exchanges specifically between ExampleUser and AWS.,"C. The CMK is to be used for encrypting and decrypting only when the principal is ExampleUser and the request comes from WorkMail or SES in the specified
region.",D. The key policy allows WorkMail or SES to encrypt or decrypt on behalf of the user for any CMK in the account.,,,,,,,,,,C,
256,"- (Exam Topic 2)
A Systems Engineer is troubleshooting the connectivity of a test environment that includes a virtual security appliance deployed inline. In addition to using the
virtual security appliance, the Development team wants to use security groups and network ACLs to accomplish various security requirements in the environment.
What configuration is necessary to allow the virtual security appliance to route the traffic?
",A. Disable network ACLs.,B. Configure the security appliance's elastic network interface for promiscuous mode.,C. Disable the Network Source/Destination check on the security appliance's elastic network interface,D. Place the security appliance in the public subnet with the internet gateway,,,,,,,,,,C,"Each EC2 instance performs source/destination checks by default. This means that the instance must be the source or destination of any traffic it sends or
receives. In this case virtual security appliance instance must be able to send and receive traffic when the source or destination is not itself. Therefore, you must
disable source/destination checks on the NAT instance."""
258,"- (Exam Topic 2)
Amazon CloudWatch Logs agent is successfully delivering logs to the CloudWatch Logs service. However, logs stop being delivered after the associated log
stream has been active for a specific number of hours.
What steps are necessary to identify the cause of this phenomenon? (Choose two.)
",A. Ensure that file permissions for monitored files that allow the CloudWatch Logs agent to read the file have not been modified.,B. Verify that the OS Log rotation rules are compatible with the configuration requirements for agent streaming.,C. Configure an Amazon Kinesis producer to first put the logs into Amazon Kinesis Streams.,D. Create a CloudWatch Logs metric to isolate a value that changes at least once during the period before logging stops.,E. Use AWS CloudFormation to dynamically create and maintain the configuration file for the CloudWatch Logs agent.,,,,,,,,,AB,https://acloud.guru/forums/aws-certified-security-specialty/discussion/-Lm5A3w6_NybQPhh6tRP/Cloudwatch%
262,"- (Exam Topic 2)
A company uses user data scripts that contain sensitive information to bootstrap Amazon EC2 instances. A Security Engineer discovers that this sensitive
information is viewable by people who should not have access to it.
What is the MOST secure way to protect the sensitive information used to bootstrap the instances?
","A. Store the scripts in the AMI and encrypt the sensitive data using AWS KMS Use the instance role profile to control access to the KMS keys needed to decrypt
the data.","B. Store the sensitive data in AWS Systems Manager Parameter Store using the encrypted string parameter and assign the GetParameters permission to the EC2
instance role.",C. Externalize the bootstrap scripts in Amazon S3 and encrypt them using AWS KM,D. Remove the scripts from the instance and clear the logs after the instance is configured.,E. Block user access of the EC2 instance's metadata service using IAM policie,F. Remove all scripts and clear the logs after execution.,,,,,,,,B,
266,"- (Exam Topic 2)
A security team is creating a response plan in the event an employee executes unauthorized actions on AWS infrastructure. They want to include steps to
determine if the employee's IAM permissions changed as part of the incident.
What steps should the team document in the plan? Please select:
",A. Use AWS Config to examine the employee's IAM permissions prior to the incident and compare them to the employee's current IAM permissions.,B. Use Made to examine the employee's IAM permissions prior to the incident and compare them to the employee's A current IAM permissions.,C. Use CloudTrail to examine the employee's IAM permissions prior to the incident and compare them to the employee's current IAM permissions.,D. Use Trusted Advisor to examine the employee's IAM permissions prior to the incident and compare them to the employee's current IAM permissions.,,,,,,,,,,A,"You can use the AWSConfig history to see the history of a particular item.
The below snapshot shows an example configuration for a user in AWS Config C:\Users\wk\Desktop\mudassar\Untitled.jpg
Option B,C and D are all invalid because these services cannot be used to see the history of a particular configuration item. This can only be accomplished by
AWS Config.
For more information on tracking changes in AWS Config, please visit the below URL:
https://docs.aws.amazon.com/AmazonCloudFront/latest/DeveloperGuide/TrackineChanees.htmll
The correct answer is: Use AWS Config to examine the employee's IAM permissions prior to the incident and compare them the employee's current IAM
permissions.
Submit your Feedback/Queries to our Experts"
267,"- (Exam Topic 2)
The Security Engineer is given the following requirements for an application that is running on Amazon EC2 and managed by using AWS CloudFormation
templates with EC2 Auto Scaling groups:
-Have the EC2 instances bootstrapped to connect to a backend database.
-Ensure that the database credentials are handled securely.
-Ensure that retrievals of database credentials are logged.
Which of the following is the MOST efficient way to meet these requirements?
",A. Pass databases credentials to EC2 by using CloudFormation stack parameters with the property set to tru,B. Ensure that the instance is configured to log to Amazon CloudWatch Logs.,"C. Store database passwords in AWS Systems Manager Parameter Store by using SecureString parameters.Set the IAM role for the EC2 instance profile to allow
access to the parameters.",D. Create an AWS Lambda that ingests the database password and persists it to Amazon S3 with server-side encryptio,"E. Have the EC2 instances retrieve the S3 object on startup, and log all script invocations to syslog.","F. Write a script that is passed in as UserData so that it is executed upon launch of the EC2 instance.Ensure that the instance is configured to log to Amazon
CloudWatch Logs.",,,,,,,,B,
268,"- (Exam Topic 2)
During a recent security audit, it was discovered that multiple teams in a large organization have placed restricted data in multiple Amazon S3 buckets, and the
data may have been exposed. The auditor has requested that the organization identify all possible objects that contain personally identifiable information (PII) and
then determine whether this information has been accessed.
What solution will allow the Security team to complete this request?
","A. Using Amazon Athena, query the impacted S3 buckets by using the PII query identifier functio","B. Then, create a new Amazon CloudWatch metric for Amazon S3 object access to alert when the objects are accessed.","C. Enable Amazon Macie on the S3 buckets that were impacted, then perform data classificatio","D. For identified objects that contain PII, use the research function for auditing AWS CloudTrail logs and S3 bucket logs for GET operations.","E. Enable Amazon GuardDuty and enable the PII rule set on the S3 buckets that were impacted, then perform data classificatio","F. Using the PII findings report from GuardDuty, query the S3 bucket logs by using Athena for GET operations.","G. Enable Amazon Inspector on the S3 buckets that were impacted, then perform data classificatio","H. For identified objects that contain PII, query the S3 bucket logs by using Athena for GET operations.",,,,,,B,
270,"- (Exam Topic 2)
The Security Engineer has discovered that a new application that deals with highly sensitive data is storing Amazon S3 objects with the following key pattern,
which itself contains highly sensitive data.
Pattern: ""randomID_datestamp_PII.csv"" Example:
""1234567_12302017_000-00-0000 csv""
The bucket where these objects are being stored is using server-side encryption (SSE). Which solution is the most secure and cost-effective option to protect the
sensitive data?
","A. Remove the sensitive data from the object name, and store the sensitive data using S3 user-defined metadata.",B. Add an S3 bucket policy that denies the action s3:GetObject,"C. Use a random and unique S3 object key, and create an S3 metadata index in Amazon DynamoDB using client-side encrypted attributes.",D. Store all sensitive objects in Binary Large Objects (BLOBS) in an encrypted Amazon RDS instance.,,,,,,,,,,C,https://docs.aws.amazon.com/AmazonS3/latest/dev/UsingMetadata.html https://aws.amazon.com/blogs/database/best-practices-for-securing-sensitive-data-in-awsdata-stores/
274,"- (Exam Topic 2)
A company has multiple VPCs in their account that are peered, as shown in the diagram. A Security Engineer wants to perform penetration tests of the Amazon
EC2 instances in all three VPCs.
How can this be accomplished? (Choose two.)","A. Deploy a pre-authorized scanning engine from the AWS Marketplace into VPC B, and use it to scan instances in all three VPC",B. Do not complete the penetration test request form.,"C. Deploy a pre-authorized scanning engine from the Marketplace into each VPC, and scan instances in each VPC from the scanning engine in that VP",D. Do not complete the penetration test request form.,E. Create a VPN connection from the data center to VPC,F. Use an on-premises scanning engine to scan the instances in all three VPC,G. Complete the penetration test request form for all three VPCs.,H. Create a VPN connection from the data center to each of the three VPC,I. Use an on-premises scanning engine to scan the instances in each VP,J. Do not complete the penetration test request form.,K. Create a VPN connection from the data center to each of the three VPC,L. Use an on-premises scanning engine to scan the instances in each VP,M. Complete the penetration test request form for all three VPCs.,BD,https://aws.amazon.com/security/penetration-testing/
279,"- (Exam Topic 2)
A Developer who is following AWS best practices for secure code development requires an application to encrypt sensitive data to be stored at rest, locally in the
application, using AWS KMS. What is the simplest and MOST secure way to decrypt this data when required?
",A. Request KMS to provide the stored unencrypted data key and then use the retrieved data key to decrypt the data.,B. Keep the plaintext data key stored in Amazon DynamoDB protected with IAM policie,C. Query DynamoDB to retrieve the data key to decrypt the data,"D. Use the Encrypt API to store an encrypted version of the data key with another customer managed key.Decrypt the data key and use it to decrypt the data when
required.",E. Store the encrypted data key alongside the encrypted dat,F. Use the Decrypt API to retrieve the data key to decrypt the data when required.,,,,,,,,D,"We recommend that you use the following pattern to locally encrypt data: call the GenerateDataKey API, use the key returned in the Plaintext response field to
locally encrypt data, and then erase the plaintext data key from memory. Store the encrypted data key (contained in the CiphertextBlob field) alongside of the
locally encrypted data. The Decrypt API returns the plaintext key from the encrypted key.
https://docs.aws.amazon.com/sdkfornet/latest/apidocs/items/MKeyManagementServiceKeyManagementService"
283,"- (Exam Topic 2)
A Security Engineer is implementing a solution to allow users to seamlessly encrypt Amazon S3 objects without having to touch the keys directly. The solution
must be highly scalable without requiring continual management. Additionally, the organization must be able to immediately delete the encryption keys.
Which solution meets these requirements?
",A. Use AWS KMS with AWS managed keys and the ScheduleKeyDeletion API with a PendingWindowInDays set to 0 to remove the keys if necessary.,B. Use KMS with AWS imported key material and then use the DeletelmportedKeyMaterial API to remove the key material if necessary.,C. Use AWS CloudHSM to store the keys and then use the CloudHSM API or the PKCS11 library to delete the keys if necessary.,D. Use the Systems Manager Parameter Store to store the keys and then use the service API operations to delete the key if necessary.,,,,,,,,,,C,https://docs.aws.amazon.com/kms/latest/developerguide/importing-keys-delete-key-material.html
284,"- (Exam Topic 2)
In response to the past DDoS attack experiences, a Security Engineer has set up an Amazon CloudFront distribution for an Amazon S3 bucket. There is concern
that some users may bypass the CloudFront distribution and access the S3 bucket directly.
What must be done to prevent users from accessing the S3 objects directly by using URLs?
",A. Change the S3 bucket/object permission so that only the bucket owner has access.,"B. Set up a CloudFront origin access identity (OAI), and change the S3 bucket/object permission so that only the OAI has access.","C. Create IAM roles for CloudFront, and change the S3 bucket/object permission so that only the IAM role has access.",D. Redirect S3 bucket access to the corresponding CloudFront distribution.,,,,,,,,,,B,https://docs.aws.amazon.com/AmazonCloudFront/latest/DeveloperGuide/private-content-restricting-access-to-s3
285,"- (Exam Topic 2)
Which option for the use of the AWS Key Management Service (KMS) supports key management best practices that focus on minimizing the potential scope of
data exposed by a possible future key compromise?
","A. Use KMS automatic key rotation to replace the master key, and use this new master key for future encryption operations without re-encrypting previously
encrypted data.","B. Generate a new Customer Master Key (CMK), re-encrypt all existing data with the new CMK, and use it for all future encryption operations.","C. Change the CMK alias every 90 days, and update key-calling applications with the new key alias.",D. Change the CMK permissions to ensure that individuals who can provision keys are not the same individuals who can use the keys.,,,,,,,,,,B,"""automatic key rotation has no effect on the data that the CMK protects. It does not rotate the data keys that the CMK generated or re-encrypt any data protected
by the CMK, and it will not mitigate the effect of a compromised data key. You might decide to create a new CMK and use it in place of the original CMK. This has
the same effect as rotating the key material in an existing CMK, so it's often thought of as manually rotating the key.""
https://docs.aws.amazon.com/kms/latest/developerguide/rotate-keys.html"
