QuestionID,QuestionContent,A,B,C,D,E,F,G,H,I,J,K,L,M,Answer,Explain
187,"A company hosts critical data in an S3 bucket. Even though they have assigned the appropriate permissions to the bucket, they are still worried about data
deletion. What measures can be taken to restrict the risk of data deletion on the bucket. Choose 2 answers from the options given below
Please select:
",A. Enable versioning on the S3 bucket,B. Enable data at rest for the objects in the bucket,C. Enable MFA Delete in the bucket policy,D. Enable data in transit for the objects in the bucket,,,,,,,,,,AC,"One of the AWS Security blogs mentions the followinj
Versioning keeps multiple versions of an object in the same bucket. When you enable it on a bucket Amazon S3 automatically adds a unique version ID to every
object stored in the bucket. At that point, a simple DELETE action does not permanently delete an object version; it merely associates a delete marker with the
object. If you want to permanently delete an object version, you must specify its version ID in your DELETE request.
You can add another layer of protection by enabling MFA Delete on a versioned bucket. Once you do so, you must provide your AWS accounts access keys and a
valid code from the account's MFA device in order to permanently delete an object version or suspend or reactivate versioning on the bucket.
Option B is invalid because enabling encryption does not guarantee risk of data deletion. Option D is invalid because this option does not guarantee risk of data
deletion.
For more information on AWS S3 versioning and MFA please refer to the below URL:
https://aws.amazon.com/blogs/security/securing-access-to-aws-using-mfa-part-3/
The correct answers are: Enable versioning on the S3 bucket Enable MFA Delete in the bucket policy Submit your Feedback/Queries to our Experts"
191,"Your company has defined a number of EC2 Instances over a period of 6 months. They want to know if any of the security groups allow unrestricted access to a
resource. What is the best option to accomplish this requirement?
Please select:
",A. Use AWS Inspector to inspect all the security Groups,B. Use the AWS Trusted Advisor to see which security groups have compromised access.,C. Use AWS Config to see which security groups have compromised access.,D. Use the AWS CLI to query the security groups and then filter for the rules which have unrestricted accessd,,,,,,,,,,B,"The AWS Trusted Advisor can check security groups for rules that allow unrestricted access to a resource. Unrestricted access increases opportunities for
malicious activity (hacking, denial-of-service attacks, loss of data).
If you go to AWS Trusted Advisor, you can see the details C:\Users\wk\Desktop\mudassar\Untitled.jpg
Option A is invalid because AWS Inspector is used to detect security vulnerabilities in instances and not for security groups.
Option C is invalid because this can be used to detect changes in security groups but not show you security groups that have compromised access.
Option Dis partially valid but would just be a maintenance overhead
For more information on the AWS Trusted Advisor, please visit the below URL: https://aws.amazon.com/premiumsupport/trustedadvisor/best-practices;
The correct answer is: Use the AWS Trusted Advisor to see which security groups have compromised access. Submit your Feedback/Queries to our Experts"
196,"A Security Engineer who was reviewing AWS Key Management Service (AWS KMS) key policies found this statement in each key policy in the company AWS
account.
What does the statement allow?
",A. All principals from all AWS accounts to use the key.,B. Only the root user from account 111122223333 to use the key.,C. All principals from account 111122223333 to use the key but only on Amazon S3.,D. Only principals from account 111122223333 that have an IAM policy applied that grants access to this key to use the key.,,,,,,,,,,D,
198,"An organization is using AWS CloudTrail, Amazon CloudWatch Logs, and Amazon CloudWatch to send alerts when new access keys are created. However, the
alerts are no longer appearing in the Security Operations mail box.
Which of the following actions would resolve this issue?
","A. In CloudTrail, verify that the trail logging bucket has a log prefix configured.","B. In Amazon SNS, determine whether the “Account spend limit” has been reached for this alert.","C. In SNS, ensure that the subscription used by these alerts has not been deleted.","D. In CloudWatch, verify that the alarm threshold “consecutive periods” value is equal to, or greater than 1.",,,,,,,,,,B,
200,"A financial institution has the following security requirements:
Cloud-based users cannot access on-premises systems.
As part of standing up a cloud environment, the financial institution is creating a number of Amazon managed databases and Amazon EC2 instances. An Active
Directory service exists on-premises that has all the administrator accounts, and these must be able to access the databases and instances.
How would the organization manage its resources in the MOST secure manner? (Choose two.)
",A. Configure an AWS Managed Microsoft AD to manage the cloud resources.,B. Configure an additional on-premises Active Directory service to manage the cloud resources.,C. Establish a one-way trust relationship from the existing Active Directory to the new Active Directory service.,D. Establish a one-way trust relationship from the new Active Directory to the existing Active Directory service.,E. Establish a two-way trust between the new and existing Active Directory services.,,,,,,,,,AD,
202,"A company has a requirement to create a DynamoDB table. The company's software architect has provided the following CLI command for the DynamoDB table
Which of the following has been taken of from a security perspective from the above command? Please select:
","A. Since the ID is hashed, it ensures security of the underlying table.",B. The above command ensures data encryption at rest for the Customer table,C. The above command ensures data encryption in transit for the Customer table,D. The right throughput has been specified from a security perspective,,,,,,,,,,B,"The above command with the ""-sse-specification Enabled=true"" parameter ensures that the data for the DynamoDB table is encrypted at rest.
Options A,C and D are all invalid because this command is specifically used to ensure data encryption at rest For more information on DynamoDB encryption,
please visit the URL: https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/encryption.tutorial.html
The correct answer is: The above command ensures data encryption at rest for the Customer table"
204,"A company continually generates sensitive records that it stores in an S3 bucket. All objects in the bucket are encrypted using SSE-KMS using one of the
company's CMKs. Company compliance policies require that no more than one month of data be encrypted using the same encryption key. What solution below
will meet the company's requirements?
Please select:
",A. Trigger a Lambda function with a monthly CloudWatch event that creates a new CMK and updates the S3 bucket to use the new CMK.,B. Configure the CMK to rotate the key material every month.,"C. Trigger a Lambda function with a monthly CloudWatch event that creates a new CMK, updates the S3 bucket to use thfl new CMK, and deletes the old CMK.",D. Trigger a Lambda function with a monthly CloudWatch event that rotates the key material in the CMK.,,,,,,,,,,A,"You can use a Lambda function to create a new key and then update the S3 bucket to use the new key. Remember not to delete the old key, else you will not be
able to decrypt the documents stored in the S3 bucket using the older key.
Option B is incorrect because AWS KMS cannot rotate keys on a monthly basis
Option C is incorrect because deleting the old key means that you cannot access the older objects Option D is incorrect because rotating key material is not
possible.
For more information on AWS KMS keys, please refer to below URL: https://docs.aws.amazon.com/kms/latest/developereuide/concepts.htmll
The correct answer is: Trigger a Lambda function with a monthly CloudWatch event that creates a new CMK and updates the S3 bucket to use the new CMK.
Submit your Feedback/Queries to our Experts"
206,"An Amazon EC2 instance is part of an EC2 Auto Scaling group that is behind an Application Load Balancer (ALB). It is suspected that the EC2 instance has been
compromised.
Which steps should be taken to investigate the suspected compromise? (Choose three.)
",A. Detach the elastic network interface from the EC2 instance.,B. Initiate an Amazon Elastic Block Store volume snapshot of all volumes on the EC2 instance.,C. Disable any Amazon Route 53 health checks associated with the EC2 instance.,D. De-register the EC2 instance from the ALB and detach it from the Auto Scaling group.,E. Attach a security group that has restrictive ingress and egress rules to the EC2 instance.,F. Add a rule to an AWS WAF to block access to the EC2 instance.,,,,,,,,BDE,
210,"Which of the following is the responsibility of the customer? Choose 2 answers from the options given below. Please select:
",A. Management of the Edge locations,B. Encryption of data at rest,C. Protection of data in transit,D. Decommissioning of old storage devices,,,,,,,,,,BC,"Below is the snapshot of the Shared Responsibility Model
C:\Users\wk\Desktop\mudassar\Untitled.jpg
For more information on AWS Security best practises, please refer to below URL awsstatic corn/whitepapers/Security/AWS Practices.
The correct answers are: Encryption of data at rest Protection of data in transit Submit your Feedback/Queries to our Experts"
215,"You need to inspect the running processes on an EC2 Instance that may have a security issue. How can you achieve this in the easiest way possible. Also you
need to ensure that the process does not interfere with the continuous running of the instance.
Please select:
",A. Use AWS Cloudtrail to record the processes running on the server to an S3 bucket.,B. Use AWS Cloudwatch to record the processes running on the server,C. Use the SSM Run command to send the list of running processes information to an S3 bucket.,D. Use AWS Config to see the changed process information on the server,,,,,,,,,,C,"The SSM Run command can be used to send OS specific commands to an Instance. Here you can check and see the running processes on an instance and then
send the output to an S3 bucket.
Option A is invalid because this is used to record API activity and cannot be used to record running processes. Option B is invalid because Cloudwatch is a logging
and metric service and cannot be used to record running processes.
Option D is invalid because AWS Config is a configuration service and cannot be used to record running processes.
For more information on the Systems Manager Run command, please visit the following URL:
https://docs.aws.amazon.com/systems-manaEer/latest/usereuide/execute-remote-commands.htmll
The correct answer is: Use the SSM Run command to send the list of running processes information to an S3 bucket. Submit your Feedback/Queries to our
Experts"
220,"A company is hosting sensitive data in an AWS S3 bucket. It needs to be ensured that the bucket always remains private. How can this be ensured continually?
Choose 2 answers from the options given below
Please select:
",A. Use AWS Config to monitor changes to the AWS Bucket,B. Use AWS Lambda function to change the bucket policy,C. Use AWS Trusted Advisor API to monitor the changes to the AWS Bucket,D. Use AWS Lambda function to change the bucket ACL,,,,,,,,,,AD,"One of the AWS Blogs mentions the usage of AWS Config and Lambda to achieve this. Below is the diagram representation of this
C:\Users\wk\Desktop\mudassar\Untitled.jpg
ption C is invalid because the Trusted Advisor API cannot be used to monitor changes to the AWS Bucket Option B doesn't seems to be the most appropriate.
1. If the object is in a bucket in which all the objects need to be private and the object is not private anymore, the Lambda function makes a PutObjectAcI call to S3
to make the object private.
|https://aws.amazon.com/blogs/security/how-to-detect-and-automatically-remediate-unintended-permissions-in-a The following link also specifies that
Create a new Lambda function to examine an Amazon S3 buckets ACL and bucket policy. If the bucket ACL is found to al public access, the Lambda function
overwrites it to be private. If a bucket policy is found, the Lambda function creatt an SNS message, puts the policy in the message body, and publishes it to the
Amazon SNS topic we created. Bucket policies can be complex, and overwriting your policy may cause unexpected loss of access, so this Lambda function
doesn't attempt to alter your policy in any way.
https://aws.amazon.com/blogs/security/how-to-use-aws-config-to-monitor-for-and-respond-to-amazon-s3-bucke Based on these facts Option D seems to be more
appropriate then Option B.
For more information on implementation of this use case, please refer to the Link:
https://aws.amazon.com/blogs/security/how-to-use-aws-config-to-monitor-for-and-respond-to-amazon-s3-bucke
The correct answers are: Use AWS Config to monitor changes to the AWS Bucket Use AWS Lambda function to change the bucket ACL"
224,"Your company has confidential documents stored in the simple storage service. Due to compliance requirements, you have to ensure that the data in the S3
bucket is available in a different geographical location. As an architect what is the change you would make to comply with this requirement.
Please select:
",A. Apply Multi-AZ for the underlying 53 bucket,B. Copy the data to an EBS Volume in another Region,C. Create a snapshot of the S3 bucket and copy it to another region,D. Enable Cross region replication for the S3 bucket,,,,,,,,,,D,"This is mentioned clearly as a use case for S3 cross-region replication
You might configure cross-region replication on a bucket for various reasons, including the following:
• Compliance requirements - Although, by default Amazon S3 stores your data across multiple geographically distant Availability Zones, compliance requirements
might dictate that you store data at even further distances. Cross-region replication allows you to replicate data between distant AWS Regions to satisfy these
compliance requirements.
Option A is invalid because Multi-AZ cannot be used to S3 buckets
Option B is invalid because copying it to an EBS volume is not a recommended practice
Option C is invalid because creating snapshots is not possible in S3
For more information on S3 cross-region replication, please visit the following URL: https://docs.aws.amazon.com/AmazonS3/latest/dev/crr.htmll
The correct answer is: Enable Cross region replication for the S3 bucket Submit your Feedback/Queries to our Experts"
227,"The Security Engineer is managing a traditional three-tier web application that is running on Amazon EC2 instances. The application has become the target of
increasing numbers of malicious attacks from the Internet.
What steps should the Security Engineer take to check for known vulnerabilities and limit the attack surface? (Choose two.)
",A. Use AWS Certificate Manager to encrypt all traffic between the client and application servers.,B. Review the application security groups to ensure that only the necessary ports are open.,C. Use Elastic Load Balancing to offload Secure Sockets Layer encryption.,D. Use Amazon Inspector to periodically scan the backend instances.,E. Use AWS Key Management Services to encrypt all the traffic between the client and application servers.,,,,,,,,,BC,
232,"A company wants to have a secure way of generating, storing and managing cryptographic exclusive access for the keys. Which of the following can be used for
this purpose?
Please select:
",A. Use KMS and the normal KMS encryption keys,B. Use KMS and use an external key material,C. Use S3 Server Side encryption,D. Use Cloud HSM,,,,,,,,,,D,"The AWS Documentation mentions the following
The AWS CloudHSM service helps you meet corporate, contractual and regulatory compliance requirements for data security by using dedicated Hardware
Security Module (HSM) instances within the AWS cloud. AWS and AWS Marketplace partners offer a variety of solutions for protecting sensitive data within the
AWS platform, but for some applications and data subject to contractual or regulatory mandates for managing cryptographic keys, additional protection may be
necessary. CloudHSM complements existing data protection solutions and allows you to protect your encryption keys within HSMs that are desigr and validated to
government standards for secure key management. CloudHSM allows you to securely generate, store and manage cryptographic keys used for data encryption in
a way that keys are accessible only by you.
Option A.B and Care invalid because in all of these cases, the management of the key will be with AWS. Here the question specifically mentions that you want to
have exclusive access over the keys. This can be achieved with Cloud HSM
For more information on CloudHSM, please visit the following URL: https://aws.amazon.com/cloudhsm/faq:
The correct answer is: Use Cloud HSM Submit your Feedback/Queries to our Experts"
